date,rank,title,description,url,wayback_url,source,published_at,score,score_keywords,score_position,score_cross_domain,score_us,score_captures,raw_captures
2017-07-11,1,Trump taps Randal Quarles to be Fed’s top banking regulator,,https://web.archive.org/web/20170711001706/http://www.marketwatch.com/story/trump-taps-randal-quarles-to-be-feds-top-banking-regulator-2017-07-10,https://web.archive.org/web/20170711001706/http://www.marketwatch.com/story/trump-taps-randal-quarles-to-be-feds-top-banking-regulator-2017-07-10,MarketWatch,2017-07-11,0.3967,0.267,0.8,0.25,0.0,0.0,0
2017-07-11,2,Randal Quarles to be named top bank regulator: WSJ,,https://web.archive.org/web/20170711001706/http://www.marketwatch.com/,https://web.archive.org/web/20170711001706/http://www.marketwatch.com/,MarketWatch,2017-07-11,0.27,0.1,0.6,0.25,0.0,0.0,0
2017-07-11,3,Money lessons from Bobby Bonilla’s steal of a multimillion-dollar deal,,https://web.archive.org/web/20170711001706/http://www.marketwatch.com/story/lessons-from-bobby-bonillas-steal-of-a-multimillion-dollar-deal-2017-07-10,https://web.archive.org/web/20170711001706/http://www.marketwatch.com/story/lessons-from-bobby-bonillas-steal-of-a-multimillion-dollar-deal-2017-07-10,MarketWatch,2017-07-11,0.0833,0.133,0.1,0.0,0.0,0.0,0
2017-07-27,1,"Australian dollar passes 80 US cents , Federal Reserve keeps rates steady , Wall St sets records",,http://www.abc.net.au/news/2017-07-27/asx-wall-st-aud-share-market-wrap/8747548,https://web.archive.org/web/20170726230821/http://www.abc.net.au/news/2017-07-27/asx-wall-st-aud-share-market-wrap/8747548,abc.net.au,20170727T000000Z,0.5667,0.5,1.0,0.0,0.667,0.0,0
2017-07-27,2,Global Shares Rise on Fed Signals,,http://www.4-traders.com/news/Global-Shares-Rise-on-Fed-Signals--24828769/,https://web.archive.org/web/20180719063515/http://www.4-traders.com/news/Global-Shares-Rise-on-Fed-Signals--24828769/,4-traders.com,20170727T080000Z,0.5633,0.233,0.9,1.0,0.0,0.0,0
2017-07-27,3,"Wall Street set to rise on strong earnings , dovish Fed",,http://www.sify.com/finance/wall-street-trims-gains-as-tech-stocks-weigh-news-equity-rh1sHjegbejeh.html,https://web.archive.org/web/20200202205838/http://www.sify.com/finance/wall-street-trims-gains-as-tech-stocks-weigh-news-equity-rh1sHjegbejeh.html,sify.com,20170727T184500Z,0.5633,0.3,0.7,1.0,0.333,0.0,0
2018-04-16,1,Has earnings growth peaked? Market reaction to this round will be revealing,,https://web.archive.org/web/20180416000301/https://www.marketwatch.com/story/how-the-stock-market-reacts-to-earnings-will-be-telling-2018-04-14,https://web.archive.org/web/20180416000301/https://www.marketwatch.com/story/how-the-stock-market-reacts-to-earnings-will-be-telling-2018-04-14,MarketWatch,2018-04-16,0.3267,0.067,1.0,0.0,0.0,0.0,0
2018-04-16,2,SEC investigating Guggenheim’s asset-management unit,,https://web.archive.org/web/20180416000301/https://www.marketwatch.com/story/sec-investigating-guggenheims-asset-management-unit-2018-04-15,https://web.archive.org/web/20180416000301/https://www.marketwatch.com/story/sec-investigating-guggenheims-asset-management-unit-2018-04-15,MarketWatch,2018-04-16,0.3133,0.133,0.7,0.25,0.0,0.0,0
2018-04-16,3,How the U.S. and allied strikes on Syria will impact your stock investments,,https://web.archive.org/web/20180416000301/https://www.marketwatch.com/story/heres-what-to-do-with-your-stocks-if-the-us-military-strikes-syria-2018-04-13,https://web.archive.org/web/20180416000301/https://www.marketwatch.com/story/heres-what-to-do-with-your-stocks-if-the-us-military-strikes-syria-2018-04-13,MarketWatch,2018-04-16,0.23,0.067,0.4,0.25,0.333,0.0,0
2021-10-05,1,"A stock-market correction is brewing in the Nasdaq as Facebook leads tech shares south 
 — here are the levels to watch",,https://web.archive.org/web/20211005000648/https://www.marketwatch.com/story/a-stock-market-correction-is-brewing-in-the-nasdaq-as-facebook-leads-tech-shares-south-here-are-the-levels-to-watch-for-other-benchmarks-11633376337?mod=home-page,https://web.archive.org/web/20211005000648/https://www.marketwatch.com/story/a-stock-market-correction-is-brewing-in-the-nasdaq-as-facebook-leads-tech-shares-south-here-are-the-levels-to-watch-for-other-benchmarks-11633376337?mod=home-page,MarketWatch,2021-10-05,0.43,0.4,0.9,0.0,0.0,0.0,0
