date,rank,title,url,snippet,source,query
2017-07-11,1,11 | July | 2017 | RUTHFULLY YOURS,http://www.ruthfullyyours.com/2017/07/11/,"The Saudis and their supporters are demanding sweeping changes in Qatari policies, including suspending allfinancialsupport to the Muslim ...",ruthfullyyours.com,"""2017-07-11"" ""Wall Street"" financial news"
2017-07-11,2,"FTSE 100 finishes lower as M&S, Pearson fall sharply -",https://www.marketwatch.com/story/ftse-100-steers-lower-as-ms-pearson-fall-2017-07-11,"Published: July11,2017at 12:04 p.m. ... TheWallStreetJournal ...FinancialNewsLondon",marketwatch.com,"""2017-07-11"" ""Wall Street"" financial news"
2017-07-11,3,Dashboard of Coinjm- Crypto Currency Tracker | Coinjm- Crypto,https://coinjm.com/en/dashboard,"Palantir just crushedWallStreet’s fourth-quarter expectations, reporting $0.25 earnings per share on $1.41 billion revenue, beating forecasts of ...",coinjm.com,"""2017-07-11"" ""Wall Street"" financial news"
2018-04-16,1,Wall Street ends higher as focus turns to earnings,https://www.economies.com/markets/americas-news/wall-street-ends-higher-as-focus-turns-to-earnings-22688,Risk Disclaimer: Economies.com is afinancialportal that providesnewsand analysis about the differentfinancialmarkets.,economies.com,"""2018-04-16"" ""Wall Street"" financial news"
2018-04-16,2,"April 16, 2018 - Training The Street - Financial Training,",https://trainingthestreet.com/2018/04/16/,"Rostan is CFO of Training TheStreet, a company that providesfinancialeducation for employees of banks, primarily, but also law, accounting ...",trainingthestreet.com,"""2018-04-16"" ""Wall Street"" financial news"
2018-04-16,3,July Monthly Newsletter 2018 - Sound Income Strategies,https://soundincomestrategies.com/newsletters/july-monthly-newsletter/,"La Monica, “Stop the Market! I Want to Get Off! Volatility is Back,” CNN Money , last modified on April16,2018, http://money.cnn.com/2018/04/16...",soundincomestrategies.com,"""2018-04-16"" ""Wall Street"" financial news"
2021-03-18,1,Wall Street says it's going green | Canada's National,https://www.nationalobserver.com/2021/03/18/features/after-decades-backing-polluters-wall-street-says-its-going-green,"Joseph Stiglitz, a Nobel laureate and Columbia University economics professor, doesn’t thinkWallStreethas a choice.",nationalobserver.com,"""2021-03-18"" ""Wall Street"" financial news"
2021-03-18,2,"New Trade for March 18th, 2021",https://wallstreetwatchdogs.com/2021/03/18/new-trade-for-march-18th-2021/,"WallStreetWatchdogs - Nothing on this website should be considered personalizedfinancialadvice. ...WallStreetWatchdogs, its managers, its ...",wallstreetwatchdogs.com,"""2021-03-18"" ""Wall Street"" financial news"
2021-03-18,3,The 2021 Global Financial Centres Index 29 - Full Ranking |,https://www.caproasia.com/2021/03/18/the-2021-global-financial-centres-index-29-full-ranking/,"Caproasia.com | The leading source of data, research, information & resource forfinancialprofessionals, investment managers, professional investors ...",caproasia.com,"""2021-03-18"" ""Wall Street"" financial news"
2021-10-05,1,"The Richest Hedge Fund Managers On The 2021 Forbes 400 ListMOVES Citi hires Goldman banker to share leadership of global ...4 takeaways from Facebook whistleblower Frances Haugen's ...10 Years of Behavioral Finance: Thaler, Kahneman, Statman ...Facebook says sorry for mass outage and reveals why it happened",https://www.forbes.com/sites/sergeiklebnikov/2021/10/05/richest-hedge-fund-managers-forbes-400-list-2021/,"2020 Net Worth: $23.5 billionAmerica’s richest hedge fund manager for the fourth year running, Jim Simons founded Long Island-based Renaissance Technologies in 1982. His esteemed quantitative trading firm, which today manages some $50 billion in assets, is famous for its Medallion Fund, a $10billion black-box strategy that is only open to Renaissance owners and employees. Though Simons officially retired in 2010, he is still involved at the firm and continues to benefit from its funds.See full list on forbes.com2020 Net Worth: $16.9 billionRay Dalio famously started Bridgewater Associates in 1975 out of his two-bedroom apartment in New York. By forty years later, he had turned it into the world’s largest hedge fund, which today manages some $154 billion in assets. Though Dalio stepped down as co-CEO of Bridgewater in 2017, he remains chairman and co-chief investment officer. Bridgewater returns took a hit during the pandemic market crash and subsequent economic rebound—the firm lost $12.1 billion for investors in 2020, accordin...See full list on forbes.com2020 Net Worth: $14 billionAnotherWall Streetlegend, activist investor Carl Icahn has been making an impact on corporate America for decades. Shares of his primary investing vehicle, Icahn Enterprises—a vast conglomerate that invests in everything from casinos and energy to real estate and food packaging—are down slightly in2021. So far this year, Icahn has sold stakes in companies like Occidental Petroleum and Herbalife, while adding to positions in companies such as Xerox.See full list on forbes.com2020 Net Worth: $15 billionKen Griffin runs Citadel, a Chicago-based hedge fund firm he founded in 1990 that manages roughly $39 billion in assets. After returning 24% in 2020, the firm’s flagship Wellington fund was reportedlyup nearly10% for the year through August. Griffin is also the founder of Citadel Securities, one of the biggest market-making firms onWall Street.See full list on forbes.com2020 Net Worth: $14.5 billionSteve Cohen founded and runs hedge fund Point72 Asset Management, which has $20 billion of assets under management. The firm started managing outside capital in 2018, following a two-year supervisory ban stemming from insider-trading charges leveled at Cohen’s previous firm, SAC Capital. In October 2020, Cohen completed his purchaseof the New York Mets baseball team for $2.4 billion.See full list on forbes.com2020 Net Worth: $13 billionArguably the greatest hedge fund manager of his generation, David Tepper runs Appaloosa Management, which boasted annualized returns of 25% in its first 25 years. Tepper has been steadily winding down and returning money to clients in recent years, however, with Appaloosa’s assets under management down to $13 billion, down from a peak of $20 billion. His fund returned over10% in the first half of2021.See full list on forbes.com2020 Net Worth: $7.2 billionIsrael Englander founded Millennium Management in 1989 with $35 million from friends and family. Today, his hedge fund firm manages nearly $53 billion. After returning 26% in 2020—generating $10.2 billion in net gains for investors, according to LCH Investments—his fund was up nearly 7% through the end of July2021.See full list on forbes.com2020 Net Worth: $6.9 billionAgain the youngest hedge fund manager on The Forbes 400 at 46-years-old, Chase Coleman is also this year’s biggest gainer, with his net worth rising $3.4 billion. He has had another stellar year with Tiger Global Management, boasting an annualized net return of 21% since he started the firm he started 20 years ago. Coleman has been building up Tiger’s Global venture funds in recent years, which now account for $40 billion of the firm’s total $65 billion in assets.See full list on forbes.com2020 Net Worth: $8.6 billionAnother celebrated hedge fund tycoon, George Soros managed client money from 1969 to 2011. He famously became known as the man who broke the Bank of England when he shorted the British pound in 1992 for a reported $1 billion profit. He no longer manages money for clients but still invests through his family office fund. Through his Open Society Foundations, Soros has given away $16.8 billion to philanthropy in his lifetime.See full list on forbes.com2020 Net Worth: $6.5 billionA former computer science professor at Columbia University, David Shaw founded his quantitative hedge fund, D.E. Shaw, in 1988. Known for using sophisticated mathematical modeling and algorithms, the fund now manages more than $55 billion in assets. Shaw stepped away from day-to-day operations in 2002, leaving an executive committee to oversee the firm.See full list on forbes.comOct 5,2021·LONDON,Oct5(Reuters) - Citigroup (C.N) has hired Luisa Leyenaar-Huntingford from Goldman Sachs (GS.N) to co-head its global infrastructure franchise as it seeks to win more business from...Oct 6,2021·Revelations brought to light from whistleblower Frances Haugen, a former data scientist at Facebook, has led to what may be the most threatening scandal in the company's history. The pressure was...Oct 5,2021·To mark Enterprising Investor’ s 10th anniversary, we have compiled retrospectives of our coverage of the most critical themes in finance and investing over the last decade.Oct 5,2021·Facebook has apologized for the mass outage that left billions of users unable to access Facebook, Instagram, WhatsApp and Messenger for several hours.",forbes.com,"""2021-10-05"" ""Wall Street"" financial news"
